AÑO,PROVINCIA,DISTRITO,SECTOR_EST,NOM_CULTIVO,AREA_SEMB_(Has),AREA_ASEG_(Has),MONTO_INDN(S),NUM_PROD _BENIF
2010_2011,Chucuito,Pomata,Huacani Cercado,Avena Forrajera,50,30,12000,234
2010_2011,Chucuito,Pomata,Huacani Cercado,Cebada Forrajera,120,120,48000,443
2010_2011,Chucuito,Zepita,Ayrihuas Ancoputo,Avena Forrajera,180,60,24000,601
2010_2011,Chucuito,Zepita,Ayrihuas Ancoputo,Cebada Forrajera,160,100,40000,601
2010_2011,Chucuito,Desaguadero,Lupaca,Avena Forrajera,50,25,10000,151
2010_2011,Chucuito,Desaguadero,Lupaca,Cebada Forrajera,10,10,4000,151
2010_2011,Chucuito,Desaguadero,Lupaca,Papa,60,30,12000,151
2010_2011,Chucuito,Juli,Vilcallame,Avena Forrajera,80,12,4800,293
2010_2011,Chucuito,Juli,Vilcallame,Cebada Forrajera,120,46,18400,293
2010_2011,Chucuito,Juli,Kajje,Avena Forrajera,50,20,8000,165
2010_2011,Chucuito,Juli,Kajje,Cebada Forrajera,80,23,9200,188
2010_2011,Chucuito,Juli,Challapampa,Avena Forrajera,100,16,6400,251
2010_2011,Chucuito,Juli,Challapampa,Cebada Forrajera,150,43,17200,251
2010_2011,El Collao,Pilcuyo,Pilcuyo,Cebada Forrajera,198,78,31200,705
2010_2011,El Collao,Pilcuyo,Bebedero,Papa,155,100,40000,317
2010_2011,El Collao,Pilcuyo,Chasqui,Avena Forrajera,94,20,8000,93
2010_2011,El Collao,Pilcuyo,Accaso,Papa,228,150,60000,769
2010_2011,El Collao,Pilcuyo,Accaso,Avena Forrajera,218,87,34800,769
2010_2011,El Collao,Pilcuyo,Accaso,Cebada Forrajera,270,107,42800,769
2010_2011,El Collao,Pilcuyo,Huayllata,Cebada Forrajera,256,101,40400,187
2010_2011,El Collao,Ilave,Jilacatura,Papa,160,140,56000,492
2010_2011,El Collao,Ilave,Jilacatura,Avena Forrajera,80,30,12000,492
2010_2011,El Collao,Ilave,Jilacatura,Cebada Forrajera,123,100,40000,492
2010_2011,El Collao,Ilave,Sullcacatura,Papa,197,170,68000,748
2010_2011,El Collao,Ilave,Sullcacatura,Avena Forrajera,114,30,12000,748
2010_2011,El Collao,Ilave,Sullcacatura,Cebada Forrajera,126,100,40000,748
2010_2011,El Collao,Ilave,Camicahi,Avena Forrajera,149,30,12000,533
2010_2011,El Collao,Ilave,Camicahi,Cebada Forrajera,231,100,40000,533
2010_2011,El Collao,Ilave,Callata,Papa,154,130,52000,270
2010_2011,El Collao,Ilave,Callata,Avena Forrajera,79,30,12000,270
2010_2011,El Collao,Ilave,Callata,Cebada Forrajera,135,100,40000,270
2010_2011,El Collao,Ilave,Alquipa,Papa,173,150,60000,119
2010_2011,El Collao,Ilave,Alquipa,Avena Forrajera,51,30,12000,119
2010_2011,El Collao,Ilave,Alquipa,Cebada Forrajera,128,100,40000,119
